dataset,feature,entropy,information_gain,mutual_information,chi_sq
cora,1118,0.3679049611091614,0.005016211381779101,0.005016215145587921,0.007732748461421579
cora,1119,0.13060392439365387,0.007834412252456166,0.00783432216849178,0.009126036529778503
cora,1120,0.08785964548587799,0.016292165476482157,0.016292164335027337,0.021487464662641287
cora,1121,0.06551086157560349,0.0031410300226516197,0.0031411388190463185,0.0033791129990277113
cora,1122,0.07315507531166077,0.024208032310097043,0.02420803374843672,0.048987798450980335
cora,1123,0.26009130477905273,0.006468411232379179,0.006468259205576032,0.009650913329096511
cora,1124,0.0160186979919672,0.0026927076574508532,0.0026926941936835647,0.005308785418492334
cora,1125,0.060288552194833755,0.003551981349969549,0.003552073976607062,0.003897695496561937
cora,1126,0.038115520030260086,0.0023864209775756526,0.002386407242738642,0.002747679983258422
cora,1127,0.08303704112768173,0.003961507748245677,0.003961556503782049,0.0044117110592196696
cora,1128,0.022730788215994835,0.0014516761639269647,0.0014515822404064238,0.0014403090967789467
cora,1129,0.0160186979919672,0.004021938496779655,0.004021863947855309,0.009744879440404475
cora,1130,0.029079947620630264,0.005844732432831165,0.005844730680109933,0.012860008282586932
cora,1131,0.4574177861213684,0.007634683519029628,0.007634656896698289,0.01120111788623035
cora,1132,0.416790634393692,0.07830523718231003,0.07830522977747023,0.12061127461493015
cora,1133,0.012474066577851772,0.0019153089137359958,0.001915236709464807,0.0025624916570450296
cora,1134,0.06808297336101532,0.0034812831607381745,0.003481414954876527,0.0042647471236705314
cora,1135,0.032149359583854675,0.0022588018080332457,0.0022587140920222737,0.0028483704936661525
cora,1136,0.038115520030260086,0.004342544790869096,0.00434253117418848,0.007450192008036538
cora,1137,0.038115520030260086,0.0028597881351673307,0.0028597819327842444,0.002928067892753461
cora,1138,0.3609984517097473,0.008403327332553723,0.00840334640815854,0.01233220676658675
cora,1139,0.032149359583854675,0.003732693073459442,0.00373268430121243,0.004491480222895916
cora,1140,0.09729364514350891,0.004721968171999769,0.004722018260508776,0.004621697531547397
cora,1141,0.07813747227191925,0.0023094174786411764,0.002309316703758668,0.0026019642282335553
cora,1142,0.04670776426792145,0.006909892476126667,0.006909809890203178,0.01146486954530701
cora,1143,0.22102919220924377,0.004000045546224573,0.003999975157057634,0.005332615852239542
cora,1144,0.338371217250824,0.006374380018897785,0.006374265067279339,0.007236415694933385
cora,1145,0.05495308339595795,0.0025585762375038568,0.0025586105839465745,0.004528925606791745
cora,1146,0.04102307930588722,0.00240775500114683,0.0024078499991446733,0.002590892941043421
cora,1147,0.09729364514350891,0.0032811335603014635,0.0032811562123242766,0.003368663696164731
cora,1148,0.04949117824435234,0.0015678344104587544,0.0015679749219543737,0.0016066336329458863
cora,1149,0.3296690583229065,0.024751098449596498,0.024751076300162822,0.03965330985374749
cora,1150,0.01942843571305275,0.0018519105402095212,0.0018518938450142741,0.0023130930089791946
cora,1151,0.3148866891860962,0.036173393716003865,0.03617342245706823,0.059475405840203166
cora,1152,0.10191333293914795,0.009120624388624515,0.009120549890212715,0.011927001251024194
cora,1153,0.052238933742046356,0.00638216056694528,0.006382082530763,0.008287420951091917
cora,1154,0.025943651795387268,0.002025063422011926,0.00202506468485808,0.0021975654567540914
cora,1155,0.10873148590326309,0.01953820864899715,0.01953813136788085,0.031134011020185426
cora,1156,0.13060392439365387,0.005045431535388389,0.0050454321899451315,0.006847981640021317
cora,1157,0.04670776426792145,0.0028688761197921964,0.0028688497986877337,0.0027676619747580844
cora,1158,0.05763576552271843,0.0014047896230876683,0.0014047909789951518,0.0021311309865268413
cora,1159,0.22802363336086273,0.016079488921596857,0.01607944123679772,0.02361466916045174
cora,1160,0.07315507531166077,0.00576337148329488,0.005763350782217458,0.00841260963352397
cora,1161,0.03515917807817459,0.0022974527472605366,0.002297442755661905,0.0024132152657330153
cora,1162,0.038115520030260086,0.0009505521916018111,0.0009505406924290583,0.001251082093858713
cora,1163,0.038115520030260086,0.006627003458002517,0.006626900431001559,0.012984724718990037
cora,1164,0.03515917807817459,0.002971420744145109,0.0029714751144638285,0.003118881281807262
cora,1165,0.04102307930588722,0.0014718009689974124,0.001471755462262081,0.0020105150770177715
cora,1166,0.1176295354962349,0.00422282508152097,0.004222926698275842,0.005761117587098852
cora,1167,0.0160186979919672,0.0014614964528573311,0.0014615166001021862,0.0015744857453228178
