label,index,num_edges,num_nodes,density,num_triangles,max_diameter,seed,subgraph_size,num_save,batch_size,timesteps,epochs,method,dataset
train,18,78,32,2.4375,8,17,123,32,50,64,400,5,walk,cora
train,19,70,32,2.1875,6,19,123,32,50,64,400,5,walk,cora
train,20,102,32,3.1875,15,8,123,32,50,64,400,5,walk,cora
train,21,94,32,2.9375,15,8,123,32,50,64,400,5,walk,cora
train,22,96,32,3.0,14,11,123,32,50,64,400,5,walk,cora
train,23,76,32,2.375,6,20,123,32,50,64,400,5,walk,cora
train,24,78,32,2.4375,6,17,123,32,50,64,400,5,walk,cora
train,25,96,32,3.0,21,8,123,32,50,64,400,5,walk,cora
train,26,88,32,2.75,10,12,123,32,50,64,400,5,walk,cora
train,27,96,32,3.0,14,7,123,32,50,64,400,5,walk,cora
train,28,112,32,3.5,19,6,123,32,50,64,400,5,walk,cora
train,29,118,32,3.6875,17,7,123,32,50,64,400,5,walk,cora
train,30,88,32,2.75,15,8,123,32,50,64,400,5,walk,cora
train,31,86,32,2.6875,6,7,123,32,50,64,400,5,walk,cora
train,32,110,32,3.4375,21,11,123,32,50,64,400,5,walk,cora
train,33,102,32,3.1875,17,6,123,32,50,64,400,5,walk,cora
train,34,90,32,2.8125,4,7,123,32,50,64,400,5,walk,cora
train,35,76,32,2.375,6,12,123,32,50,64,400,5,walk,cora
train,36,130,32,4.0625,31,7,123,32,50,64,400,5,walk,cora
train,37,100,32,3.125,11,7,123,32,50,64,400,5,walk,cora
train,38,86,32,2.6875,9,7,123,32,50,64,400,5,walk,cora
train,39,84,32,2.625,10,15,123,32,50,64,400,5,walk,cora
train,40,88,32,2.75,14,11,123,32,50,64,400,5,walk,cora
train,41,76,32,2.375,4,10,123,32,50,64,400,5,walk,cora
train,42,78,32,2.4375,11,9,123,32,50,64,400,5,walk,cora
train,43,92,32,2.875,9,9,123,32,50,64,400,5,walk,cora
train,44,146,32,4.5625,55,4,123,32,50,64,400,5,walk,cora
train,45,112,32,3.5,36,14,123,32,50,64,400,5,walk,cora
train,46,102,32,3.1875,21,9,123,32,50,64,400,5,walk,cora
train,47,78,32,2.4375,6,22,123,32,50,64,400,5,walk,cora
train,48,80,32,2.5,9,12,123,32,50,64,400,5,walk,cora
train,49,92,32,2.875,16,11,123,32,50,64,400,5,walk,cora
pred,0,118,32,3.6875,10,7,123,32,50,64,400,5,walk,cora
pred,1,133,32,4.15625,22,7,123,32,50,64,400,5,walk,cora
pred,2,125,32,3.90625,20,6,123,32,50,64,400,5,walk,cora
pred,3,144,32,4.5,30,5,123,32,50,64,400,5,walk,cora
pred,4,289,32,9.03125,148,3,123,32,50,64,400,5,walk,cora
pred,5,264,32,8.25,107,4,123,32,50,64,400,5,walk,cora
pred,6,148,32,4.625,31,6,123,32,50,64,400,5,walk,cora
pred,7,237,32,7.40625,87,4,123,32,50,64,400,5,walk,cora
pred,8,175,32,5.46875,40,5,123,32,50,64,400,5,walk,cora
pred,9,104,32,3.25,10,7,123,32,50,64,400,5,walk,cora
pred,10,201,32,6.28125,57,4,123,32,50,64,400,5,walk,cora
pred,11,262,32,8.1875,120,4,123,32,50,64,400,5,walk,cora
pred,12,233,32,7.28125,105,5,123,32,50,64,400,5,walk,cora
pred,13,200,32,6.25,54,5,123,32,50,64,400,5,walk,cora
pred,14,231,32,7.21875,82,4,123,32,50,64,400,5,walk,cora
pred,15,92,32,2.875,9,10,123,32,50,64,400,5,walk,cora
pred,16,216,32,6.75,75,4,123,32,50,64,400,5,walk,cora
pred,17,203,32,6.34375,72,4,123,32,50,64,400,5,walk,cora
pred,18,232,32,7.25,73,4,123,32,50,64,400,5,walk,cora
pred,19,226,32,7.0625,86,4,123,32,50,64,400,5,walk,cora
pred,20,149,32,4.65625,26,5,123,32,50,64,400,5,walk,cora
pred,21,42,32,1.3125,2,6,123,32,50,64,400,5,walk,cora
pred,22,143,32,4.46875,27,6,123,32,50,64,400,5,walk,cora
pred,23,219,32,6.84375,74,5,123,32,50,64,400,5,walk,cora
pred,24,133,32,4.15625,19,6,123,32,50,64,400,5,walk,cora
pred,25,103,32,3.21875,14,10,123,32,50,64,400,5,walk,cora
pred,26,50,32,1.5625,1,11,123,32,50,64,400,5,walk,cora
pred,27,247,32,7.71875,94,4,123,32,50,64,400,5,walk,cora
pred,28,118,32,3.6875,15,7,123,32,50,64,400,5,walk,cora
pred,29,159,32,4.96875,26,5,123,32,50,64,400,5,walk,cora
pred,30,116,32,3.625,11,5,123,32,50,64,400,5,walk,cora
pred,31,265,32,8.28125,114,3,123,32,50,64,400,5,walk,cora
pred,32,284,32,8.875,148,4,123,32,50,64,400,5,walk,cora
pred,33,176,32,5.5,33,4,123,32,50,64,400,5,walk,cora
pred,34,79,32,2.46875,5,10,123,32,50,64,400,5,walk,cora
pred,35,169,32,5.28125,40,5,123,32,50,64,400,5,walk,cora
pred,36,58,32,1.8125,0,7,123,32,50,64,400,5,walk,cora
pred,37,230,32,7.1875,74,4,123,32,50,64,400,5,walk,cora
pred,38,136,32,4.25,16,6,123,32,50,64,400,5,walk,cora
pred,39,168,32,5.25,31,5,123,32,50,64,400,5,walk,cora
